mname,dice,iou,gflops,encoder
timm-regnetx_016,0.8639,0.76,11.8262,1
timm-regnetx_040,0.8495),0.738,17.5306,1
timm-regnetx_080,0.8453,0.732,23.5854,1
mobileone_s1,0.8433,0.729,19.3934,1
timm-regnety_120,0.8426,0.728,51.6429,1
timm-res2net101_26w_4s,0.8418,0.727,62.7544,1
mobileone_s0,0.8404,0.725,11.3666,1
timm-efficientnet-b6,0.8404,0.725,14.3636,1
resnet34,0.839,0.723,18.3721,1
efficientnet-b6,0.8339,0.715,14.3797,1
timm-regnety_064,0.894,0.808,12.327,2
timm-efficientnet-b8,0.8766,0.78,12.4039,2
timm-regnetx_064,0.8954,0.811,12.9604,2
timm-res2net50_26w_6s,0.8001,0.667,13.5361,2
vgg11,0.8688,0.768,14.4164,2
vgg11_bn,0.909,0.833,14.4649,2
timm-regnetx_080,0.8768,0.781,14.6996,2
timm-regnety_080,0.7811,0.641,15.2949,2
resnet101,0.8638,0.76,15.5092,2
timm-res2net101_26w_4s,0.6156,0.445,15.8705,2
vgg13,0.8282,0.707,20.8987,3
timm-regnetx_080,0.8274,0.706,20.6849,3
resnext50_32x4d,0.8142,0.687,18.7906,3
timm-res2net50_14w_8s,0.8136,0.686,18.7159,3
timm-regnetx_120,0.8105,0.681,29.8346,3
timm-regnety_120,0.8073,0.677,29.8403,3
timm-regnety_080,0.8065,0.676,22.4895,3
timm-res2net50_26w_4s,0.8035,0.672,18.8112,3
vgg13_bn,0.797,0.663,20.9786,3
resnext101_32x8d,0.7935,0.658,34.8136,3
vgg13_bn,0.8569,0.75,16.1997,4
timm-regnetx_160,0.8208,0.696,22.7186,4
timm-regnety_080,0.8157,0.689,11.8778,4
timm-regnety_160,0.8104,0.681,23.2356,4
timm-res2net50_26w_8s,0.7904,0.653,12.8747,4
resnext101_32x8d,0.7724,0.629,23.5123,4
resnet152,0.7343,0.58,17.0553,4
vgg16_bn,0.724,0.567,21.644,4
vgg11_bn,0.7201,0.563,11.3364,4
timm-regnety_120,0.7191,0.561,17.5302,4
